geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.2572843 13.0391457),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.2572843,13.0391457
POINT (80.2408671 12.8589741),atm,,,,,,,,UTI,,,,,,,,,,80.2408671,12.8589741
POINT (80.2562651 12.9901845),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.2562651,12.990184499999996
POINT (80.2763979 13.0821882),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2763979,13.082188199999996
POINT (80.2743817 13.0830047),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2743817,13.083004699999996
POINT (80.2345589 12.9864212),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2345589,12.986421200000002
POINT (80.2375224 12.9871846),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2375224,12.9871846
POINT (80.2065688 13.0214305),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.2065688,13.021430499999996
POINT (80.1853119 13.0200993),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.1853119,13.0200993
POINT (80.17608 13.0255546),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,80.17608,13.0255546
POINT (80.161486 13.0330479),atm,Karnataka Bank,,Q2042632,,,,,,,,Karnataka Bank,,Q2042632,,,,,80.161486,13.033047899999998
POINT (80.2468368 13.0403524),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2468368,13.040352399999998
POINT (80.2473065 13.0383319),atm,,,,,,,,SBT,,,,,,,,,,80.2473065,13.0383319
POINT (80.2561125 13.0379504),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2561125,13.037950399999998
POINT (80.2108563 13.0088634),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.2108563,13.008863400000005
POINT (80.2789117 13.0886267),atm,,,,,,,yes,,,,Central Bank,,,,,,,80.2789117,13.0886267
POINT (80.2233204 13.0237416),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2233204,13.0237416
POINT (80.2473617 13.0425953),atm,Deutsche Bank,,Q66048,en:Deutsche Bank,,,,Deutsche Bank,,,Deutsche Bank,,Q66048,en:Deutsche Bank,,,,80.2473617,13.042595300000002
POINT (80.2090043 13.0676022),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.2090043,13.067602199999998
POINT (80.2580237 12.972808),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2580237,12.972808000000002
