geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.2572843 13.0391457),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2572843,13.039145699999999
POINT (80.2408671 12.8589741),atm,,,,,,,,UTI,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2408671,12.8589741
POINT (80.2562651 12.9901845),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2562651,12.990184499999996
POINT (80.2763979 13.0821882),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2763979,13.082188199999997
POINT (80.2743817 13.0830047),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,2026-02-22,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,no,0.0,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,no,,,,,,,,,,,,,,,,,,,,,,,,80.2743817,13.083004699999995
POINT (80.2345589 12.9864212),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2345589,12.986421200000002
POINT (80.2375224 12.9871846),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2375224,12.9871846
POINT (80.2065688 13.0214305),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2065688,13.021430499999997
POINT (80.1853119 13.0200993),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.1853119,13.0200993
POINT (80.17608 13.0255546),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.17608,13.025554600000001
POINT (80.161486 13.0330479),atm,Karnataka Bank,,Q2042632,,,,,,,,Karnataka Bank,,Q2042632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.161486,13.033047899999998
POINT (80.2468368 13.0403524),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2468368,13.040352399999998
POINT (80.2473065 13.0383319),atm,,,,,,,,SBT,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2473065,13.0383319
POINT (80.2561125 13.0379504),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2561125,13.037950399999998
POINT (80.2108563 13.0088634),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,2021-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2108563,13.008863400000003
POINT (80.2789117 13.0886267),atm,,,,,,,yes,,,,Central Bank,,,,,,2023-11-03,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2789117,13.0886267
