geometry,bus,highway,name,public_transport,name:ta,bench,shelter,name:en,local_ref,operator,source,longitude,latitude
POINT (80.2594187 12.9873013),yes,bus_stop,Thiruvanmiyur Moffusil bus stop,stop_position,,,,,,,,80.2594187,12.9873013
POINT (80.2593497 13.0148091),yes,bus_stop,Sathya Studio,platform,,,,,,,,80.2593497,13.0148091
POINT (80.2093905 13.0080754),yes,bus_stop,Guindy,stop_position,கிண்டி,,,,,,,80.20939050000001,13.008075399999996
POINT (80.2796983 13.0505637),yes,bus_stop,Unknown,stop_position,,,,,,,,80.27969830000002,13.0505637
POINT (80.2210664 12.975951),yes,bus_stop,Velachery Vijayanagar Bus Terminus,platform,,yes,yes,,,,,80.22106640000001,12.975951
POINT (80.183263 12.9754924),yes,bus_stop,Hindu Colony,platform,,,,,,,,80.183263,12.975492399999998
POINT (80.1888463 12.9830658),yes,bus_stop,Chidambaram Stores,platform,,,,,,,,80.1888463,12.9830658
POINT (80.200193 12.9946395),yes,bus_stop,பரங்கிமலை ரயில் நிலையம்,platform,பரங்கிமலை ரயில் நிலையம்,,,St. Thomas Mount Railway Station,,,,80.200193,12.9946395
POINT (80.2133106 13.0081325),yes,bus_stop,Guindy Station,platform,,yes,yes,,,,,80.21331060000001,13.008132499999997
POINT (80.2500396 13.0389089),yes,bus_stop,Eldams Road,platform,,,,,,,,80.2500396,13.0389089
POINT (80.2559271 13.0380814),yes,bus_stop,Alwarpet,platform,ஆழ்வார் பேட்டை,,yes,Alwarpet,,,,80.2559271,13.0380814
POINT (80.2552101 13.036222),yes,bus_stop,ஆழ்வார் பேட்டை,platform,ஆழ்வார் பேட்டை,,,Alwarpet,,,,80.2552101,13.036222
POINT (80.2588492 13.0387535),yes,bus_stop,ஆழ்வார் பேட்டை,stop_position,ஆழ்வார் பேட்டை,,yes,Alwarpet,,,,80.2588492,13.0387535
POINT (80.2476472 13.0414948),yes,bus_stop,Vanavil,platform,,yes,yes,,,,,80.2476472,13.0414948
POINT (80.2468797 13.0379526),yes,bus_stop,SIET,platform,,,,,,,,80.2468797,13.0379526
POINT (80.2538704 13.0479032),yes,bus_stop,Stella Maris,platform,,,,,,,,80.2538704,13.047903199999997
POINT (80.2566441 13.0458825),yes,bus_stop,Chola Sheraton,platform,,,,,,,,80.2566441,13.0458825
POINT (80.2605344 13.0464693),yes,bus_stop,Music Academy,platform,மியூசிக் அகாடமி,,yes,,,,,80.2605344,13.0464693
POINT (80.2571309 13.0351077),yes,bus_stop,ஆழ்வார் பேட்டை,platform,ஆழ்வார் பேட்டை,yes,yes,Alwarpet,,,,80.2571309,13.035107699999996
POINT (80.2529435 13.0332207),yes,bus_stop,TTK Road,platform,,,,,,,,80.2529435,13.0332207
POINT (80.2474418 13.0355237),yes,bus_stop,Unknown,platform,,,,,,,,80.2474418,13.035523699999995
POINT (80.2767558 13.081757),yes,bus_stop,General Hospital,platform,,,,,,,,80.2767558,13.081756999999998
POINT (80.2718576 13.0812612),yes,bus_stop,Ripon Building,platform,ரிப்பன் கட்டிடம்,,,,,,,80.2718576,13.0812612
POINT (80.2378848 13.0298352),yes,bus_stop,Nandanam YMCA,platform,,no,no,,,,,80.2378848,13.029835200000004
POINT (80.2246585 13.0195637),yes,bus_stop,சைதாப்பேட்டை பாலம்,platform,சைதாப்பேட்டை பாலம்,,,Saidapet Bridge,,,,80.2246585,13.0195637
POINT (80.2541619 13.0292235),yes,bus_stop,Unknown,platform,,,,,,,,80.2541619,13.0292235
