geometry,amenity,name,addr:postcode,healthcare,addr:district,addr:full,addr:state,source,longitude,latitude
POINT (80.1980375 13.0720236),clinic,Koyambedu,,,,,,,80.1980375,13.072023599999994
POINT (80.2231706 13.024235),clinic,24 Hours Hospital,600015.0,clinic,,,,,80.2231706,13.024235000000004
POINT (80.2230108 13.022387),clinic,Dr. Reddi's Poly Clinic,600015.0,clinic,,,,,80.2230108,13.022387000000002
POINT (80.2208806 13.0248543),clinic,Sugam Poly Clinic,600015.0,clinic,,,,,80.2208806,13.0248543
POINT (80.2203784 13.0248243),clinic,24 Hours Health care centre,600015.0,clinic,,,,,80.2203784,13.0248243
POINT (80.2285827 13.041711),clinic,"Sri Meenakshi Nursing Home, Chennai",600001.0,clinic,Chennai,"No. 3A, Baroda Street, West Mambalam, T Nagar",Tamil Nadu,OpenGovernmentData,80.2285827,13.041711
POINT (80.183588 13.0286757),clinic,,,,,,,,80.183588,13.0286757
POINT (80.1832579 13.0278142),clinic,,,,,,,,80.1832579,13.027814200000002
POINT (80.2201536 12.9745585),clinic,,,clinic,,,,,80.2201536,12.9745585
POINT (80.2496008 13.0672454),clinic,,,clinic,,,,,80.2496008,13.067245399999996
POINT (80.1694976 13.0594837),clinic,,,,,,,,80.1694976,13.0594837
POINT (80.2526813 13.0327786),clinic,,600018.0,clinic,,,,,80.2526813,13.0327786
POINT (80.2247278 13.0313209),clinic,Siva clinic,,clinic,,,,,80.2247278,13.0313209
POINT (80.2048268 13.0862108),clinic,Neuro Clinic,,clinic,,,,,80.2048268,13.086210799999998
POINT (80.1983714 13.0860731),clinic,Dr. Ram's Diabetes & Endocrine Clinic,,clinic,,,,,80.1983714,13.0860731
POINT (80.1983243 13.0856328),clinic,Heart Care Clinic,,,,,,,80.1983243,13.0856328
POINT (80.2077881 13.1058085),clinic,Swami Eye Clinic & Surgi Center,,clinic,,,,,80.2077881,13.1058085
POINT (80.192537 13.0855051),clinic,Anbu Dental Implant & Maxillofacial Clinic,,clinic,,,,,80.192537,13.085505099999995
POINT (80.2217057 13.0298741),clinic,Viji Clinic,600033.0,clinic,,,,,80.2217057,13.0298741
POINT (80.2098688 13.1055632),clinic,GK Clinic,,clinic,,,,,80.2098688,13.1055632
