geometry,addr:postcode,amenity,healthcare,name,addr:district,addr:full,addr:state,source,website,addr:block,addr:street,longitude,latitude
POINT (80.2052158 13.0386493),600078,hospital,hospital,Kalaignar Karunanidhi Nagar,,,,,,,,80.2052158,13.038649299999996
POINT (80.2960584 13.122775),,hospital,hospital,Kasimedu,,,,,,,,80.2960584,13.122774999999995
POINT (80.2792912 13.0922007),600079,hospital,hospital,Amrit Hospital,Chennai,"New No.310, Mint Street, Sowcarpet",Tamil Nadu,OpenGovernmentData,http://www.amrithospital.com/,,,80.27929120000002,13.0922007
POINT (80.2796178 13.0985007),,hospital,hospital,Vikram Hospital,,,,,,,,80.2796178,13.098500700000002
POINT (80.2160862 13.08438),600040,hospital,hospital,City Tower Hospitals,Chennai,"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",Tamil Nadu,OpenGovernmentData,http://www.citytowerhospitals.net/contact.asp,,,80.2160862,13.084379999999998
POINT (80.2905623 13.1289367),600081,hospital,hospital,"Apollo Hospitals, Tondiarpet",Chennai,"No.645, TH Road, Tondiarpet",Tamil Nadu,OpenGovernmentData,https://www.apollohospitals.com/,,,80.2905623,13.1289367
POINT (80.2130723 13.0844424),600040,hospital,hospital,K.H.M.Hospital,Chennai,"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",Tamil Nadu,OpenGovernmentData,https://khmhospital.com/,,,80.2130723,13.084442399999997
POINT (80.2069819 13.08217),600040,hospital,hospital,Sundaram Medical Foundation,Chennai,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2069819,13.082169999999998
POINT (80.1994692 13.0887983),600040,hospital,hospital,Sri Devi Speciality Hospial,Chennai,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,,,,80.1994692,13.088798299999995
POINT (80.2572467 13.0336624),,hospital,hospital,Corporation Hospital,,,,,,,,80.2572467,13.0336624
POINT (80.1846471 12.9787682),603209,hospital,hospital,"Hindu Mission Health Services, Kanchipuram",Kanchipuram,"Near By Ranga Theatre, Chennai, 100 Feet Road, Hinducolony, Nanagnanllur",Tamil Nadu,OpenGovernmentData,,Tambaram Mpty,,80.18464710000002,12.9787682
POINT (80.281264 13.0829605),,hospital,hospital,Goverment dental hospital & collage,,,,,,,,80.281264,13.0829605
POINT (80.2433369 13.0785984),,hospital,hospital,Kilpauk Medical College,,,,,,,,80.2433369,13.0785984
POINT (80.1905906 12.9847145),600061,hospital,hospital,Hariharan Hospital,Chennai,"24 and 26, 'Swathi', 29 Th Street",Tamil Nadu,OpenGovernmentData,http://hariharanhospitals.com/,,,80.1905906,12.9847145
POINT (80.1904116 12.9887616),,hospital,hospital,BM Hospital,,,,,https://bmhospitals.com/,,5th Main Road,80.1904116,12.988761599999997
POINT (80.1841397 12.973463),600061,hospital,hospital,K.F. Hospital,Kanchipuram,"5, Sarwamangala Nagar, Nanganallur",Tamil Nadu,OpenGovernmentData,,,,80.1841397,12.973463
POINT (80.239884 13.0061338),,hospital,hospital,Cancer Institute,,,,,,,,80.239884,13.0061338
POINT (80.2589871 13.0720996),,hospital,hospital,Govt Maternity Hospital,,,,,,,,80.2589871,13.072099599999994
POINT (80.257025 13.0735496),,hospital,hospital,Institute of Child Health,,,,,,,,80.257025,13.073549600000002
POINT (80.2591463 13.0735431),,hospital,hospital,Institute of Obstetrics and Gynaecology dd,,,,,,,,80.2591463,13.0735431
POINT (80.1858412 13.0211808),600089,hospital,hospital,MIOT International,Chennai,"Manapakkam, 4/112, Mount Poonamalle Road",Tamil Nadu,OpenGovernmentData,https://www.miotinternational.com/,,"4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089",80.1858412,13.021180799999996
POINT (80.2440921 13.0293624),600035,hospital,hospital,Venkataeswara Hospitals,Chennai,"121-A(New No-36A), Chamiers Road, Nandanam",Tamil Nadu,OpenGovernmentData,,,,80.2440921,13.029362400000002
POINT (80.2067733 12.9653846),,hospital,hospital,Sarswathi Hospital,,,,,,,,80.2067733,12.9653846
POINT (80.2041657 13.05244),,hospital,hospital,Apollo Clinic & Pharmacy,,,,,,,,80.2041657,13.05244
POINT (80.2070144 13.0483819),,hospital,hospital,Vijaya Heart Centre,,,,,,,,80.2070144,13.0483819
POINT (80.1499411 13.1181104),600053,hospital,,B.M.Orthopaedic Hospital,Tiruvallur,"# 3/157, M.T.H.Road, ,Ambattur",Tamil Nadu,OpenGovernmentData,,,,80.1499411,13.1181104
POINT (80.211027 13.0495316),600026,hospital,hospital,"Vasan Eye Care Hospital, Vadapalani",Chennai,"D No 154/2, Aroot Road, Vadapalani",Tamil Nadu,OpenGovernmentData,,,,80.211027,13.0495316
POINT (80.1942138 13.0571293),,hospital,hospital,JJ Hospital,,,,,,,,80.1942138,13.0571293
POINT (80.2151198 13.0750445),,hospital,hospital,Appasamy Hospital,,,,,,,,80.2151198,13.0750445
POINT (80.2148826 13.073239),,hospital,hospital,Appasamy Hospital,,,,,,,,80.2148826,13.073239
POINT (80.2178866 13.0892073),,hospital,hospital,Appolo Clinic,,,,,,,,80.2178866,13.089207299999998
POINT (80.1810857 13.0331325),600089,hospital,hospital,Srm Speciality Hospital,Tiruvallur,"50 Bharathi Street, Ramapuram",Tamil Nadu,OpenGovernmentData,,,,80.1810857,13.0331325
POINT (80.1801201 13.0321291),,hospital,hospital,SRM Dental Hospital,,,,,,,,80.1801201,13.0321291
POINT (80.2118365 13.0554597),600026,hospital,hospital,Aakash Fertility Centre & Hospital,Chennai,"No:10, 100 Feet Road, Opp. Hotel Ambika Empire, Vadapalani",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.2118365,13.0554597
