geometry,amenity,healthcare,name,longitude,latitude,nearby_hospital_count,nearby_clinic_count,nearby_bank_count,nearby_atm_count,nearby_supermarket_count,nearby_bus_stop_count,Business_viability_score,loan_eligibility_proxy
POINT (80.243327 13.0645397),pharmacy,pharmacy,Apollo Pharmacy,80.243327,13.0645397,3,2,5,2,0,4,2.5500000000000003,0
POINT (80.2555018 13.0348418),pharmacy,pharmacy,Appolo,80.25550180000002,13.034841800000002,10,4,6,1,3,7,5.1499999999999995,1
POINT (80.2517685 13.0386303),pharmacy,pharmacy,Sugam,80.2517685,13.038630299999996,3,0,3,2,2,6,2.55,0
POINT (80.2502927 13.039551),pharmacy,pharmacy,Sugam,80.2502927,13.039551,1,0,4,4,2,7,2.75,0
POINT (80.2500307 13.0402754),pharmacy,pharmacy,Unknown,80.2500307,13.0402754,1,0,8,4,2,5,3.05,1
POINT (80.2429776 13.0202464),pharmacy,pharmacy,Unknown,80.2429776,13.020246399999998,0,0,0,0,1,2,0.44999999999999996,0
POINT (80.2429432 13.0201628),pharmacy,pharmacy,Unknown,80.2429432,13.0201628,0,0,0,0,1,2,0.44999999999999996,0
POINT (80.2040147 13.0540717),pharmacy,pharmacy,Abhirami Medicals,80.2040147,13.054071699999996,6,9,0,0,2,4,3.4499999999999997,1
POINT (80.1939439 13.0570316),pharmacy,pharmacy,Geetha Pharmacy,80.1939439,13.0570316,4,2,4,4,2,3,3.05,1
POINT (80.2083688 13.0726659),pharmacy,pharmacy,Seven Star Pharmacy,80.2083688,13.0726659,1,0,1,0,2,1,0.7999999999999999,0
POINT (80.2272823 13.04426),pharmacy,pharmacy,Unknown,80.22728230000001,13.044259999999998,2,1,3,2,1,2,1.7499999999999998,0
POINT (80.1859118 13.039837),pharmacy,pharmacy,MedPlus,80.1859118,13.039837,3,1,0,0,1,1,1.05,0
POINT (80.2081591 13.0706398),pharmacy,pharmacy,Seetha Medicals,80.2081591,13.0706398,1,0,2,4,1,2,1.55,0
POINT (80.2039626 13.0529156),pharmacy,pharmacy,Om Medicals,80.2039626,13.0529156,7,9,0,0,2,3,3.5,1
POINT (80.2539531 13.029475),pharmacy,pharmacy,Apollo,80.2539531,13.029475,6,1,2,0,3,8,3.3,1
POINT (80.2638653 13.0279792),pharmacy,pharmacy,Capz and Tabz,80.2638653,13.0279792,5,3,1,0,1,10,3.25,1
POINT (80.2028228 12.9267155),pharmacy,pharmacy,Unknown,80.2028228,12.926715499999998,3,6,2,0,1,2,2.25,0
POINT (80.1805122 13.0386116),pharmacy,pharmacy,Uma Medicals,80.1805122,13.038611599999998,3,1,0,0,0,1,0.9000000000000001,0
POINT (80.2581824 12.9738813),pharmacy,pharmacy,Meiyappan Medicals,80.2581824,12.973881299999997,5,5,2,2,2,4,3.25,1
