geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.2508349 13.0390386),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.2508349,13.039038599999998
POINT (80.2518431 13.005869),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2518431,13.005869000000002
POINT (80.2678 12.9960126),,,Spencers,supermarket,Chennai,600090,2nd Avenue,https://www.spencers.in/,,,,80.2678,12.9960126
POINT (80.259468 13.0221142),More,Q6910891,More,supermarket,,,,,,,,80.259468,13.0221142
POINT (80.2495317 13.0287447),,,Amma Naana,supermarket,,,,,,,,80.2495317,13.028744700000004
POINT (80.2566384 13.031996),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2566384,13.031995999999998
POINT (80.2570496 13.0328095),,,Spencers Daily,supermarket,Chennai,600118,CP Ramaswamy Road,https://www.spencers.in/,,,,80.2570496,13.032809499999995
POINT (80.2637655 13.0443358),,,Waitrose,supermarket,Chennai,600004,P. S. Sivasamy Street,https://www.waitrose.com/,,,,80.2637655,13.0443358
POINT (80.2041201 13.0520052),,,LG showroom,supermarket,,,,,,,,80.2041201,13.0520052
POINT (80.219622 13.070585),,,Fresh @ Aminjikarai,supermarket,,,,,,,,80.219622,13.070585
POINT (80.1952529 13.0596967),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.1952529,13.059696699999998
POINT (80.2072397 13.0485387),,,,supermarket,,,,,,,,80.2072397,13.048538699999998
POINT (80.2103428 13.0731363),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.2103428,13.073136299999998
POINT (80.2108686 13.0768878),,,Spencer's,supermarket,Chennai,600106,Poonamallee High Road,https://www.spencers.in/,,,,80.2108686,13.0768878
POINT (80.2225074 12.9823833),,,Latta Supermarket,supermarket,Chennai,600042,Dandeeswaram Main Road,,6,,,80.2225074,12.9823833
POINT (80.2516758 13.0398647),,,K-Store,supermarket,,,,,,,,80.2516758,13.0398647
POINT (80.1855534 13.0443873),,,Spencers,supermarket,Chennai,600092,Arcot Road,https://www.spencers.in/,,,,80.1855534,13.044387299999997
POINT (80.2136124 13.0629161),,,Grace Supermarket,supermarket,Chennai,600026,MMDA Colony Main Rd,https://www.graceonline.in/,,,,80.21361240000002,13.062916100000002
POINT (80.2213633 13.0734564),Star Bazaar,Q124175958,Star Bazaar,supermarket,Chennai,600029,Nelson Manickam Road,https://starbazaarindia.com/,,,,80.2213633,13.0734564
POINT (80.2160673 13.0354172),,,Pazhamuthir,supermarket,,,,,,,,80.2160673,13.0354172
