nearby_hospital_count,nearby_bank_count,nearby_atm_count,nearby_clinic_count,nearby_supermarket_count,nearby_bus_stop_count,loan_eligibility_proxy
2,6,6,0,2,2,0
3,0,0,1,0,1,0
1,1,1,0,2,4,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
4,2,1,6,0,4,0
1,0,0,0,0,0,0
0,5,1,2,2,11,1
4,5,6,2,2,6,1
5,3,16,5,2,6,1
2,1,0,0,0,1,0
6,4,11,3,2,6,1
1,4,3,0,0,1,0
4,4,6,0,3,2,1
2,1,2,2,0,3,0
3,19,7,2,0,6,1
1,3,4,8,1,3,1
1,2,6,0,1,2,0
1,1,1,0,2,4,0
3,0,0,1,1,1,0
3,5,2,2,0,4,0
7,5,2,4,0,4,1
3,0,6,2,2,6,1
2,6,3,0,1,2,0
2,1,17,4,1,1,1
1,8,4,0,2,5,1
4,4,2,2,0,4,0
0,0,0,0,0,3,0
2,2,12,5,2,1,1
4,1,1,1,0,2,0
8,9,2,2,11,2,1
3,2,1,0,2,2,0
5,11,3,5,2,0,1
4,1,1,1,2,3,0
10,9,4,1,4,6,1
0,2,5,3,1,3,0
3,1,4,1,2,9,1
3,1,1,0,3,4,0
0,0,5,1,1,2,0
2,0,6,4,2,2,0
3,0,1,0,3,6,0
3,9,6,1,1,3,1
4,2,1,6,1,3,0
1,3,4,8,1,3,1
4,2,19,5,2,1,1
5,7,3,5,2,0,1
1,2,2,1,1,3,0
0,0,0,0,1,2,0
2,8,3,1,4,11,1
5,2,2,5,2,5,1
1,0,1,1,1,5,0
2,0,0,0,0,1,0
6,1,1,1,1,7,0
1,9,3,0,3,4,1
2,9,4,1,1,2,1
2,9,3,1,4,3,1
4,4,4,2,2,3,1
1,14,3,2,0,4,1
1,1,0,0,2,6,0
0,0,0,2,0,1,0
6,9,6,5,1,3,1
3,3,2,2,3,1,0
3,6,6,2,3,10,1
6,0,0,9,2,4,1
10,6,1,4,3,7,1
1,2,2,1,0,2,0
3,4,1,2,0,4,0
6,12,6,2,4,8,1
4,10,4,2,0,6,1
0,2,7,3,1,4,0
0,4,0,2,4,2,0
0,1,7,2,0,2,0
3,0,0,0,2,2,0
6,10,7,4,0,2,1
1,2,6,3,1,4,0
1,2,5,3,1,3,0
8,7,2,0,8,0,1
4,1,5,1,0,5,0
4,1,1,0,0,2,0
5,11,3,5,2,0,1
5,8,3,5,2,0,1
3,8,5,0,1,4,1
0,4,1,0,3,3,0
2,3,4,2,0,1,0
4,3,6,2,2,4,1
2,3,13,5,2,1,1
1,1,0,0,0,1,0
6,1,1,1,1,7,0
2,10,6,2,2,0,1
5,2,2,5,2,4,1
1,2,5,3,1,3,0
7,9,2,1,11,1,1
7,1,3,0,1,2,0
0,0,0,3,0,3,0
3,1,0,1,0,2,0
1,2,4,0,1,2,0
0,1,7,2,0,2,0
6,2,5,1,0,6,1
2,3,10,5,2,1,1
0,5,2,0,0,5,0
1,1,1,0,3,4,0
1,3,4,9,2,2,1
0,0,0,0,2,0,0
0,0,5,2,0,0,0
6,0,0,8,1,7,1
4,0,0,0,0,3,0
5,1,0,1,1,7,0
7,1,10,3,0,2,1
5,7,2,5,2,0,1
3,1,1,0,2,1,0
3,0,8,2,2,5,1
1,1,0,0,2,1,0
6,1,1,0,1,7,0
5,5,2,1,0,3,0
3,2,0,6,1,2,0
5,11,3,5,2,0,1
2,1,0,0,2,1,0
5,8,3,5,2,0,1
2,3,11,5,2,1,1
1,2,3,1,0,2,0
3,9,3,3,3,13,1
1,4,7,0,2,2,0
4,3,17,5,2,4,1
6,0,2,3,0,2,0
2,3,12,5,2,1,1
1,3,4,8,1,3,1
1,16,5,0,1,4,1
1,0,0,0,0,0,0
8,1,2,3,0,3,1
5,11,6,2,3,6,1
4,1,1,1,0,2,0
9,9,3,0,2,5,1
2,2,12,5,2,1,1
2,2,4,1,0,2,0
7,1,3,0,3,5,1
6,6,2,4,0,4,1
3,17,7,1,0,6,1
0,0,5,1,0,2,0
4,3,2,2,0,7,0
0,24,5,1,0,4,1
1,0,3,0,1,3,0
1,6,1,3,0,16,1
0,0,0,0,1,2,0
5,8,3,5,2,0,1
1,2,2,1,0,2,0
8,8,2,0,8,0,1
4,3,20,5,2,1,1
2,9,5,1,1,2,1
1,2,3,1,4,3,0
5,11,3,5,2,0,1
11,0,1,3,0,0,0
6,2,0,1,3,8,1
0,1,1,1,0,0,0
7,11,6,3,0,2,1
5,8,3,5,1,0,1
6,0,0,0,0,5,0
2,0,0,0,1,1,0
5,2,6,3,2,5,1
4,2,5,1,0,5,0
0,22,5,1,0,5,1
5,5,1,0,2,6,1
5,8,3,5,2,0,1
2,1,0,1,2,8,0
3,4,6,2,2,4,1
2,9,5,1,1,2,1
5,5,2,2,0,4,1
6,0,2,3,0,4,0
3,17,7,1,0,7,1
2,5,2,0,0,5,0
4,9,6,4,0,4,1
10,9,4,1,4,6,1
3,6,2,2,4,5,1
6,7,3,5,2,0,1
5,10,3,5,2,0,1
0,5,1,1,2,12,1
2,3,2,1,1,2,0
3,1,1,0,2,3,0
1,0,1,0,1,5,0
6,4,11,4,2,6,1
5,8,3,5,2,0,1
4,1,2,1,0,1,0
