geometry,amenity,atm,brand,brand:wikidata,brand:wikipedia,name,name:en,short_name,branch,website,brand:en,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,brand:wikipedia:pa,name:hi,name:kn,name:pa,name:pnb,name:ur,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,drive_through,created_by,operator,brand:ta,name:ta,old_name,source,air_conditioning,check_date,currency:INR,internet_access,addr:housename,designation,email,postal_code,level,addr:block,addr:suburb,wheelchair,operator:wikidata,operator:wikipedia,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,office,not:brand:wikidata,description,image,opening_hours:covid19,internet_access:fee,building,addr:district,note,building:levels,addr:full
POINT (80.2578002 13.0410323),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2785099 13.0831682),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Park town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2479934 13.0464174),bank,,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.247755 13.0454637),bank,,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,https://www.canarabank.com/,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1869881 12.9806778),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1883166 12.9828378),bank,yes,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis Bank,,,https://www.axisbank.com,,,,,,,,,,,,,Chennai,13/1,600061,4th Main Road,Mo-Sa 09:30-15:30; Su off,1860 500 5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1883597 12.985929),bank,,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,https://www.canarabank.com/,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1910107 12.9655924),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,,,,,,,,,,,,,,Chennai,5,600091,Sabari Salai,"Mo-Fr 10:00-16:00; Sa[1,3] 10:00-16:00; Sa[2,4] off; Su off; PH off",,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2546633 13.0380761),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2583324 13.0386164),bank,yes,,,,Tamil Nadu Co-op Bank,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2476605 13.0404846),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2600797 13.0662305),bank,,Central Bank of India,Q2007090,en:Central Bank of India,Central Bank of India,Central Bank of India,,,https://www.centralbankofindia.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2513078 13.0668492),bank,,,Q1340361,,State Bank of India Zonal Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.248441 13.0671335),bank,,,,,Scope International Offices,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2482694 13.0675097),bank,,Standard Chartered,Q548278,en:Standard Chartered,Standard Chartered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2162886 13.0844147),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,HDFC Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1664703 13.0308602),bank,yes,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.181209 13.0221607),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,SBI Nandambakkam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2452932 13.0341888),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2462888 13.0347323),bank,,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2467204 13.0393986),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Pbb Anna Salai,https://www.sbi.co.in,,,,,,,,,,,,,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2566048 13.0313502),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Abhiramapuram,https://www.sbi.co.in,,,,,,,,,,,,,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2887576 13.0889948),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Chennai George Town,https://www.sbi.co.in,,,,,,,,,,,,,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2843087 13.0862952),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2643178 13.037322),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2650731 13.0372383),bank,,Bank of Baroda,Q2003797,en:Bank of Baroda,Bank of Baroda,Bank of Baroda,BoB,,http://www.bankofbaroda.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1932952 13.0559427),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,Kaliamman Koil Street,,,,,State Bank of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1970943 13.0619832),bank,,City Union Bank,Q2040264,,City Union Bank,City Union Bank,CUB,,,City Union Bank,सिटी यूनियन बैंक,,,,,,सिटी यूनियन बैंक,,,,,,,,,,,,,City Union Bank,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1923417 13.0567896),bank,,,Q2003171,en:Vijaya Bank,State bank of India (SBI),Vijaya Bank,,,,,,,,,,,,,,,,,,,,,,,,Vijaya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2801769 13.1018679),bank,,Punjab National Bank,Q2743499,en:Punjab National Bank,Punjab National Bank,Punjab National Bank,PNB,,https://www.pnbindia.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2577325 13.033027),bank,yes,IDBI Bank,Q3633485,en:IDBI Bank,IDBI Bank,IDBI Bank,IDBI,,https://www.idbibank.in,,,,,,,,,,,,,Chennai,4,600018,Abhiramapuram 1st Street,,,no,,,,,Industrial Development Bank of India,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2064716 13.0767558),bank,,Karur Vysya Bank,Q6373724,,Karur Vysya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2717231 13.0750719),bank,yes,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2433788 13.0494273),bank,yes,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,https://www.canarabank.com/,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1984492 12.9234851),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
