geometry,bus,highway,name,public_transport,ref,name:ta,bench,check_date:shelter,lit,operator:wikidata,operator:wikipedia,route_ref,shelter,wheelchair,name:en,bin,tactile_paving,local_ref,operator,note,fixme,kerb,kerb:approach_aid,passenger_information_display,description,name:signed,addr:city,addr:postcode,addr:street,organic,shop,website,panoramax,disused,departures_board,loc_name,network,network:short,network:wikidata,network:wikipedia,designation,source,building,public_transport:version,alt_name,wikidata,wikipedia,addr:country,covered,sign,type,alt_name:en,access,amenity,fee
POINT (80.2594187 12.9873013),yes,bus_stop,Thiruvanmiyur Moffusil bus stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2593497 13.0148091),yes,bus_stop,Sathya Studio,platform,mtcstop#1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2093905 13.0080754),yes,bus_stop,Guindy,stop_position,,கிண்டி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2796983 13.0505637),yes,bus_stop,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2210664 12.975951),yes,bus_stop,Velachery Vijayanagar Bus Terminus,platform,,,yes,2026-04-11,yes,Q6825287,en:Metropolitan Transport Corporation (Chennai),51;D51ET;D70;D70CT;M70;V51,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.183263 12.9754924),yes,bus_stop,Hindu Colony,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1888463 12.9830658),yes,bus_stop,Chidambaram Stores,platform,,,,,,,,152N;154B;21G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.200193 12.9946395),yes,bus_stop,பரங்கிமலை ரயில் நிலையம்,platform,,பரங்கிமலை ரயில் நிலையம்,,,,,,,,,St. Thomas Mount Railway Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2133106 13.0081325),yes,bus_stop,Guindy Station,platform,,,yes,,no,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2500396 13.0389089),yes,bus_stop,Eldams Road,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2559271 13.0380814),yes,bus_stop,Alwarpet,platform,,ஆழ்வார் பேட்டை,,,,,,,yes,,Alwarpet,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2552101 13.036222),yes,bus_stop,ஆழ்வார் பேட்டை,platform,,ஆழ்வார் பேட்டை,,,,,,,,,Alwarpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2588492 13.0387535),yes,bus_stop,ஆழ்வார் பேட்டை,stop_position,,ஆழ்வார் பேட்டை,,,,,,,yes,,Alwarpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2476472 13.0414948),yes,bus_stop,Vanavil,platform,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2468797 13.0379526),yes,bus_stop,SIET,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2538704 13.0479032),yes,bus_stop,Stella Maris,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2566441 13.0458825),yes,bus_stop,Chola Sheraton,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2605344 13.0464693),yes,bus_stop,Music Academy,platform,,மியூசிக் அகாடமி,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2571309 13.0351077),yes,bus_stop,ஆழ்வார் பேட்டை,platform,,ஆழ்வார் பேட்டை,yes,,,,,,yes,,Alwarpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2529435 13.0332207),yes,bus_stop,TTK Road,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2474418 13.0355237),yes,bus_stop,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2767558 13.081757),yes,bus_stop,General Hospital,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2718576 13.0812612),yes,bus_stop,Ripon Building,platform,,ரிப்பன் கட்டிடம்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2378848 13.0298352),yes,bus_stop,Nandanam YMCA,platform,,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2246585 13.0195637),yes,bus_stop,சைதாப்பேட்டை பாலம்,platform,,சைதாப்பேட்டை பாலம்,,,,,,,,,Saidapet Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
