geometry,amenity,is_in,name,addr:city,addr:housename,addr:postcode,addr:street,emergency,healthcare,note,operator,addr:housenumber,opening_hours,addr:district,addr:full,addr:state,phone,source,name:en,email,healthcare:speciality,addr:block,health_facility:type,operator:type,website,wikidata,wikipedia,check_date,addr:subdistrict,level,air_conditioning,branch,building,name:ta,building:levels
POINT (80.1980375 13.0720236),clinic,Chennai,Koyambedu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2231706 13.024235),clinic,,24 Hours Hospital,Saidapet,24 Hours Hospital,600015,Karaneeswar Koil Street,yes,clinic,"Dr. Prabhakaran MD, DMRD  Dr. Mobin",Private,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2230108 13.022387),clinic,,Dr. Reddi's Poly Clinic,saidapet,,600015,Karaneeswar Koil Street,,clinic,Pediatrician Dr. PJN Reddi and Dr. Raj Dental Dr. Raji Skin: Dr Grub,,14/3,"09:00-13:00,18:00-21:00",,,,,,,,,,,,,,,,,,,,,,
POINT (80.2208806 13.0248543),clinic,,Sugam Poly Clinic,Saidapet,,600015,Jones Road,,clinic,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2203784 13.0248243),clinic,,24 Hours Health care centre,Saidapet,,600015,Jones Road,,clinic,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2285827 13.041711),clinic,,"Sri Meenakshi Nursing Home, Chennai",Chennai,,600001,Railway Border Road,,clinic,,,3A,,Chennai,"No. 3A, Baroda Street, West Mambalam, T Nagar",Tamil Nadu,044 2345 5290,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.183588 13.0286757),clinic,,,,,,Ramapuram Main Rd,,,,,,Mo-Su 18:30-21:30,,,,,,Dr.subramaniyam(child specialist),,,,,,,,,,,,,,,,
POINT (80.1832579 13.0278142),clinic,,,,,,,,,,,,,,,,,,bone specialist doctor,,,,,,,,,,,,,,,,
POINT (80.2201536 12.9745585),clinic,,,,,,,,clinic,,,,,,,,,,xcellent clinic,,,,,,,,,,,,,,,,
POINT (80.2496008 13.0672454),clinic,,,,,,College Road,,clinic,,,,,,,,,,Shankara Netralaya Eye Hospital,,,,,,,,,,,,,,,,
POINT (80.1694976 13.0594837),clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2526813 13.0327786),clinic,,,,,600018,TTK Road,,clinic,,,530,,,,,04424346665,,Liberty High Scans,libertyscans@gmail.com,,,,,,,,,,,,,,,
