geometry,addr:postcode,amenity,healthcare,healthcare:speciality,name,name:en,name:etymology:wikidata,name:ta,operator,wikidata,wikipedia,addr:district,addr:full,addr:state,operator:type,source,website,addr:subdistrict,email,operator:wikidata,operator:wikipedia,addr:block,addr:city,check_date,wikimedia_commons,addr:street,phone,wheelchair,opening_hours,addr:housenumber,designation,addr:interpolation,emergency,addr:housename,addr:neighbourhood,addr:suburb,note,is_in,description,internet_access,contact:phone,payment:cash,payment:credit_cards,payment:debit_cards,alt_name,start_date,whatsapp,speciality,image,mobile,payment:google_pay,payment:insurance,contact:mobile,name:hi,name:ml,building,official_name,operator:short,landuse,short_name,name:tn,fax,building:levels,comment,contact:email,type
POINT (80.2052158 13.0386493),600078,hospital,hospital,fertility;infertility;ivf_treatment,Kalaignar Karunanidhi Nagar,KK Nagar,Q470875,கலைஞர் கருணாநிதி நகர்,Hospital,Q6323457,"en:K. K. Nagar, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2960584 13.122775),,hospital,hospital,,Kasimedu,,,காசிமேடு,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2792912 13.0922007),600079,hospital,hospital,,Amrit Hospital,Amrit Hospital,,,,,,Chennai,"New No.310, Mint Street, Sowcarpet",Tamil Nadu,private,OpenGovernmentData,http://www.amrithospital.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2796178 13.0985007),,hospital,hospital,,Vikram Hospital,Apollo Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2160862 13.08438),600040,hospital,hospital,,City Tower Hospitals,,,,,,,Chennai,"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",Tamil Nadu,private,OpenGovernmentData,http://www.citytowerhospitals.net/contact.asp,Anna Nagar,info@citytowerhospitals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2905623 13.1289367),600081,hospital,hospital,,"Apollo Hospitals, Tondiarpet",,,,Apollo Hospitals,,,Chennai,"No.645, TH Road, Tondiarpet",Tamil Nadu,private,OpenGovernmentData,https://www.apollohospitals.com/,,enquiry@apollohospitals.com,Q4780321,en:Apollo Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2130723 13.0844424),600040,hospital,hospital,,K.H.M.Hospital,,,,,,,Chennai,"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",Tamil Nadu,private,OpenGovernmentData,https://khmhospital.com/,Anna Nagar,khmhospital@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2069819 13.08217),600040,hospital,hospital,,Sundaram Medical Foundation,,,,,,,Chennai,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1994692 13.0887983),600040,hospital,hospital,,Sri Devi Speciality Hospial,,,,,,,Chennai,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2572467 13.0336624),,hospital,hospital,,Corporation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1846471 12.9787682),603209,hospital,hospital,,"Hindu Mission Health Services, Kanchipuram",,,,,,,Kanchipuram,"Near By Ranga Theatre, Chennai, 100 Feet Road, Hinducolony, Nanagnanllur",Tamil Nadu,,OpenGovernmentData,,,,,,Tambaram Mpty,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.281264 13.0829605),,hospital,hospital,,Goverment dental hospital & collage,,,அரசு பல் மருத்துவமனை மற்றும் கல்லூரி,,Q5588794,"en:Government Dental Hospital and College, Chennai",,,,,,,,,,,,,,"Category:Government Dental Hospital and College, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2433369 13.0785984),,hospital,hospital,,Kilpauk Medical College,,,கீழ்ப்பாக்கம் மருத்துவமனை மற்றும் கல்லூரி,,Q12977046,en:Kilpauk Medical College,,,,,,,,,,,,,,Category:Kilpauk Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1905906 12.9847145),600061,hospital,hospital,,Hariharan Hospital,,,,,,,Chennai,"24 and 26, 'Swathi', 29 Th Street",Tamil Nadu,private,OpenGovernmentData,http://hariharanhospitals.com/,Nanganallur,info@hariharanhospitals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1904116 12.9887616),,hospital,hospital,,BM Hospital,,,,,,,,,,,,https://bmhospitals.com/,,,,,,,,,5th Main Road,044-22670277,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
