geometry,amenity,brand,brand:wikidata,healthcare,name,dispensing,addr:housename,addr:city,addr:postcode,addr:street,designation,source,brand:wikipedia,name:ta,is_in,opening_hours,addr:housenumber,shop,email,name:en,phone,website,wheelchair,operator,addr:suburb,description,drive_through,brand:website,addr:full,branch,level,note,air_conditioning,check_date,currency:INR,payment:cash,payment:credit_cards,payment:google_pay,payment:mastercard,payment:visa,addr:district,contact:facebook,mobile,official_name,payment:bank_transfer,payment:debit_cards,payment:upi_qr,short_name,start_date,amenity_1,payment:american_express,payment:cards,payment:contactless,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:jcb,payment:upi,payment:visa_debit,contact:whatsapp,panoramax,building,building:levels,historic
POINT (80.243327 13.0645397),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2555018 13.0348418),pharmacy,,,pharmacy,Appolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2517685 13.0386303),pharmacy,,,pharmacy,Sugam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2502927 13.039551),pharmacy,,,pharmacy,Sugam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2500307 13.0402754),pharmacy,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2429776 13.0202464),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2429432 13.0201628),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2040147 13.0540717),pharmacy,,,pharmacy,Abhirami Medicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1939439 13.0570316),pharmacy,,,pharmacy,Geetha Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2083688 13.0726659),pharmacy,,,,Seven Star Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2272823 13.04426),pharmacy,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1859118 13.039837),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
