geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay
POINT (80.2508349 13.0390386),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,ரிலையன்ஸ் ஃப்ரெஷ்,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2518431 13.005869),Nilgiri's,Q17079567,,Nilgiri's,நீல்கிரீஸ்,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2678 12.9960126),,,,Spencers,,supermarket,Chennai,600090,2nd Avenue,yes,yes,yes,bus_stop,yes,platform,yes,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.259468 13.0221142),More,Q6910891,,More,,supermarket,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2495317 13.0287447),,,,Amma Naana,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2566384 13.031996),Nilgiri's,Q17079567,,Nilgiri's,நீல்கிரீஸ்,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2570496 13.0328095),,,,Spencers Daily,,supermarket,Chennai,600118,CP Ramaswamy Road,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2637655 13.0443358),,,,Waitrose,வெயிட்ரோஸ்,supermarket,Chennai,600004,P. S. Sivasamy Street,,,,,yes,,,https://www.waitrose.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2041201 13.0520052),,,,LG showroom,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.219622 13.070585),,,,Fresh @ Aminjikarai,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1952529 13.0596967),Reliance Fresh,Q7311014,,Reliance Fresh,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2072397 13.0485387),,,,,,supermarket,,,,,,,,,,,,,Nilgiris Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2103428 13.0731363),Reliance Fresh,Q7311014,,Reliance Fresh,,supermarket,,,,,,,,,,,,,Reliance Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2108686 13.0768878),,,,Spencer's,,supermarket,Chennai,600106,Poonamallee High Road,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2225074 12.9823833),,,,Latta Supermarket,,supermarket,Chennai,600042,Dandeeswaram Main Road,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2516758 13.0398647),,,,K-Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1855534 13.0443873),,,,Spencers,,supermarket,Chennai,600092,Arcot Road,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2136124 13.0629161),,,,Grace Supermarket,,supermarket,Chennai,600026,MMDA Colony Main Rd,,,,,yes,,,https://www.graceonline.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2213633 13.0734564),Star Bazaar,Q124175958,,Star Bazaar,,supermarket,Chennai,600029,Nelson Manickam Road,,,,,yes,,,https://starbazaarindia.com/,,Start Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2160673 13.0354172),,,,Pazhamuthir,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2614084 13.0267144),,,,Spencer's Daily,,supermarket,Chennai,600028,2nd Main Road,,,,,yes,,,https://www.spencers.in/,,,,yes,no,2024-05-22,yes,no,Spencer's Daily,yes,yes,yes,yes,yes,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2029956 12.9291074),,,,Nilgiris Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
